OBJECTID,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,NonContrib,NonContr_1,AreaSqKm,AreaAcres,GNIS_ID,Name,States,HUC12,HUType,HUMod,ToHUC,HUC4,HUC6,HUC8,HUC10,HUC4_Name,HUC6_Name,HUC8_Name,HUC10_Name,Shape_Leng,Shape_Area,test_count,test_sum,test_mean
"25",{1B20CDFC-A859-4937-BA8B-3DD93DF90631},{398C29E1-B69C-4748-A790-3729C5B5D492},,,,2017-10-17,"0","0",74.379999999999995,18380.590000000000146,,Perch Creek-Elk River,"DE,MD","020600020205",S,NM,"020600020207","0206","020600","02060002","0206000202",Upper Chesapeake,Upper Chesapeake,Chester-Sassafras,Elk River,62887.381748024788976,125330856.853158950805664,82649.000000000000000,11530.000000000000000,0.139505620152694
"26",{73A39965-8394-47E7-8BBB-E79986ECA4CB},,,,,2013-01-18,"0","0",141.370000000000005,34934.000000000000000,,Bohemia River,"DE,MD","020600020206",S,NM,"020600020207","0206","020600","02060002","0206000202",Upper Chesapeake,Upper Chesapeake,Chester-Sassafras,Elk River,74762.810761862812797,237421174.991270035505295,157069.000000000000000,13669.000000000000000,0.087025447414830
"27",{DC4176D8-6C5A-49B6-8993-5958FEACF2F5},,,,,2013-01-18,"0","0",108.890000000000001,26907.610000000000582,,Upper Sassafras River,"DE,MD","020600020301",S,TF,"020600020302","0206","020600","02060002","0206000203",Upper Chesapeake,Upper Chesapeake,Chester-Sassafras,Sassafras River,65742.968782453681342,182434307.691585093736649,120986.000000000000000,4294.000000000000000,0.035491709784603
"28",{426A16B1-0F06-4BE8-B391-620336AE290F},,,,,2013-01-18,"0","0",97.799999999999997,24167.939999999998690,,Cypress Branch,"DE,MD","020600020401",S,NM,"020600020402","0206","020600","02060002","0206000204",Upper Chesapeake,Upper Chesapeake,Chester-Sassafras,Chester River,67494.776906266823062,163534171.162823855876923,108660.000000000000000,330.000000000000000,0.003036996134732
"29",{E48E1EF7-B654-4170-A119-08D3BE945B14},,,,,2013-01-18,"0","0",119.760000000000005,29592.549999999999272,,Andover Branch,"DE,MD","020600020402",S,NM,"020600020406","0206","020600","02060002","0206000204",Upper Chesapeake,Upper Chesapeake,Chester-Sassafras,Chester River,85183.922393585278769,199779417.572703808546066,133067.000000000000000,121.000000000000000,0.000909316359428
"30",{099046C1-17F0-4970-A95A-268339BE8BB9},,,,,2013-01-18,"0","0",147.569999999999993,36465.180000000000291,,Tappahanna Ditch-Choptank River,"DE,MD","020600050202",S,TF,"020600050203","0206","020600","02060005","0206000502",Upper Chesapeake,Upper Chesapeake,Choptank,Watts Creek-Choptank River,83428.110405521787470,245471918.015581250190735,163970.000000000000000,194.000000000000000,0.001183143257913
"31",{E7D9FBEA-EC83-4C77-8632-5E0E0AD2DED0},,,,,2013-01-18,"0","0",105.109999999999999,25973.450000000000728,,Gravelly Branch-Choptank River,"DE,MD","020600050203",S,TF,"020600050204","0206","020600","02060005","0206000502",Upper Chesapeake,Upper Chesapeake,Choptank,Watts Creek-Choptank River,70066.578985774161993,174337890.440901935100555,116788.000000000000000,309.000000000000000,0.002645819776004
"32",{F014F992-59CC-4265-B395-FA71AB819E12},,,,,2013-01-18,"0","0",105.090000000000003,25967.819999999999709,,Chapel Branch-Choptank River,"DE,MD","020600050205",S,TF,"020600050206","0206","020600","02060005","0206000502",Upper Chesapeake,Upper Chesapeake,Choptank,Watts Creek-Choptank River,68082.726913456383045,173872166.341043889522552,116761.000000000000000,1701.000000000000000,0.014568220553096
"33",{6ED2CDE4-EBEF-4F77-A5D8-6F2BEE7A6220},,,,,2013-01-18,"0","0",151.289999999999992,37385.180000000000291,,Fowling Creek-Choptank River,"DE,MD","020600050206",S,TF,"020600050302","0206","020600","02060005","0206000502",Upper Chesapeake,Upper Chesapeake,Choptank,Watts Creek-Choptank River,86608.349551502440590,249710817.291192620992661,168119.000000000000000,4135.000000000000000,0.024595673302839
"34",{5748D8D1-903B-435A-823D-4196E9F086B2},,,,,2013-01-18,"0","0",71.530000000000001,17674.939999999998690,,Hitch Pond Branch,"DE,MD","020801090201",S,NM,"020801090202","0208","020801","02080109","0208010902",Lower Chesapeake,Lower Chesapeake,Nanticoke,Broad Creek,76784.936883877453511,117038941.159419357776642,79469.000000000000000,408.000000000000000,0.005134077439001
"35",{6FAA3D36-8DC5-4E38-9D6C-18B325DD30D1},,,,,2013-01-18,"0","0",63.990000000000002,15811.120000000000800,,James Branch,"DE,MD","020801090202",S,NM,"020801090204","0208","020801","02080109","0208010902",Lower Chesapeake,Lower Chesapeake,Nanticoke,Broad Creek,72132.882496606413042,104634546.524616867303848,71097.000000000000000,172.000000000000000,0.002419230065966
"36",{C469F7B2-1EAE-4A29-8C63-AA97BCA7C14F},,,,,2013-01-18,"0","0",77.810000000000002,19226.560000000001310,,Little Creek-Broad Creek,"DE,MD","020801090204",S,NM,"020801090205","0208","020801","02080109","0208010902",Lower Chesapeake,Lower Chesapeake,Nanticoke,Broad Creek,69936.797454544517677,127280148.363198071718216,86440.000000000000000,717.000000000000000,0.008294770939380
"37",{78FF4D40-B9DF-4FBF-B571-5E7019576C78},,,,,2013-01-18,"0","0",113.040000000000006,27932.409999999999854,,Saulsbury Creek-Marshyhope Creek,"DE,MD","020801090302",S,NM,"020801090303","0208","020801","02080109","0208010903",Lower Chesapeake,Lower Chesapeake,Nanticoke,Marshyhope Creek,91246.783336796055664,186763276.325794547796249,125575.000000000000000,8.000000000000000,0.000063706948039
"38",{4F644471-E5BD-4C4A-9FEE-93CC32498F8B},,,,,2013-01-18,"0","0",103.849999999999994,25662.380000000001019,,Tommy Wright Branch-Marshyhope Creek,"DE,MD","020801090303",S,NM,"020801090304","0208","020801","02080109","0208010903",Lower Chesapeake,Lower Chesapeake,Nanticoke,Marshyhope Creek,69410.696586036705412,171214504.791733056306839,115408.000000000000000,171.000000000000000,0.001481699708859
