,OBJECTID,HUC8,VALUE_0,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_45,VALUE_46,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,TotalPixels,V_0_PERCENT,V_11_PERCENT,V_21_PERCENT,V_22_PERCENT,V_23_PERCENT,V_24_PERCENT,V_31_PERCENT,V_41_PERCENT,V_42_PERCENT,V_43_PERCENT,V_45_PERCENT,V_46_PERCENT,V_52_PERCENT,V_71_PERCENT,V_81_PERCENT,V_82_PERCENT,V_90_PERCENT,V_95_PERCENT,TotalPercents
28,29,2050305,0.0,76448700.00000001,357810300.0,304823699.99999994,121293900.0,54867600.0,9336600.0,1806196499.9999998,41359500.00000001,413470799.99999994,20882700.0,13450500.0,4821300.0,2265300.0,702699300.0,888152400.0,33147000.0,8939699.999999998,4859965800.0,0.0,0.0157302958798599,0.07362403661359099,0.0627213672985106,0.024957768221331927,0.011289709075730533,0.0019211246301362862,0.3716479856710102,0.008510245072094953,0.08507689498555729,0.004296882089170257,0.002767612068381222,0.0009920440180875346,0.0004661143911753453,0.14458935081395016,0.18274869341673144,0.006820418365907019,0.0018394573887742169,0.9999999999999999
29,30,2050101,0.0,72027000.00000001,272412000.00000006,58931100.0,18111600.0,5247000.0,6847200.0,2399778000.0000005,298697400.00000006,971559900.0000001,25533000.0,23269500.0,3598200.0,10165500.000000002,1268509500.0,190082700.0,270121500.0,32577299.999999996,5927468400.000001,0.0,0.012151393333450753,0.04595756259113925,0.009942035287779854,0.0030555371665920645,0.0008852008388606507,0.0011551643193913946,0.40485715621866497,0.05039206957223087,0.16390806908392797,0.00430757252117953,0.003925706293094704,0.0006070382424982644,0.0017149817281185338,0.2140052741571764,0.03206810853685867,0.0455711412987035,0.005495988810332585,1.0000000000000002
30,31,2050103,0.0,21679200.0,141119099.99999997,49828499.99999999,19273500.0,6177600.0,7223400.0,953813700.0,119312100.00000001,648391499.9999999,13965300.0,7056899.999999999,2648700.0,4064400.0,589968000.0,65289600.0,40596300.0,15423300.0,2705831100.0,0.0,0.008012030019168602,0.05215369872864569,0.018415229243244336,0.007122950135357672,0.0022830693312675724,0.002669567956403487,0.3525030442587492,0.04409443738007151,0.23962748450928806,0.005161186890046463,0.0026080341821778895,0.0009788859326807205,0.001502089321096206,0.21803578205601967,0.024129222256333738,0.015003264616183915,0.005700023183265208,1.0
31,32,2050105,0.0,25375500.0,180598500.0,56061000.0,18575100.0,5582700.0,7298099.999999999,1179745200.0000002,80039699.99999999,588218399.9999999,7600499.999999999,5652000.0,6442200.0,4873499.999999999,683058600.0,210909600.0,54746100.0,23661000.0,3138437700.0,0.0,0.008085392295663539,0.05754407678699501,0.017862709207195668,0.005918581719815563,0.0017788149817343833,0.002325392662725151,0.37590206107962576,0.025503039298820553,0.18742395300693715,0.0024217463357644473,0.0018008960318058886,0.0020526773559978585,0.0015528426771065104,0.21764287371388638,0.0672020986747642,0.01744374278960516,0.007539101381556817,1.0
32,33,2050102,0.0,36645299.99999999,197624700.0,42857100.00000001,16510500.0,5040000.0,6986700.000000001,1612577700.0,242770500.0,567030600.0,25135200.0,14264999.999999998,9897300.0,9279900.0,936084599.9999999,258597900.0,158406300.00000003,23151599.999999996,4162860900.0,0.0,0.008802912439375525,0.047473289342913186,0.01029510738636499,0.003966142611202791,0.001210705839342362,0.0016783409697883494,0.387372467814142,0.05831818689882239,0.1362117576400403,0.006037962978777407,0.003426729920281506,0.002377523592008563,0.002229212126689124,0.22486569272588472,0.06212023562930003,0.03805226833305913,0.005561463752007663,0.9999999999999999
33,34,2050104,0.0,20402100.0,165015900.00000003,25943400.0,9567000.0,2877300.0,7489800.0,1485348300.0,110628899.99999999,642422700.0000001,25110900.0,13452300.0,8110800.0,4302000.0,898619400.0,131930100.0,21085200.000000004,12955500.0,3585261600.0,0.0,0.00569054709982669,0.04602618118577457,0.00723612469449928,0.0026684245300259263,0.0008025355806672517,0.00208905258126771,0.41429286498926604,0.03085657682552369,0.1791843306496798,0.007003924065122612,0.003752111143019522,0.002262261699397333,0.0011999124415356468,0.2506426309310316,0.036797900605077184,0.005881077129769276,0.003613543848515824,1.0
34,35,2080111,0.0,598383000.0,96211800.0,29571300.0,8993699.999999998,2220300.0,3591000.0,13456800.0,185231700.0,80868600.00000001,4441500.0,1195200.0,8171100.000000001,911700.0,7906499.999999999,727429499.9999999,865183500.0000001,154133100.00000003,2787900300.0,0.0,0.21463572424021046,0.03451048805439707,0.010607014892175306,0.0032259761943423866,0.0007964058112121154,0.0012880661478461048,0.0048268584066654035,0.06644129275354646,0.029006991390617524,0.0015931344460201823,0.00042870973542346544,0.0029309154276428036,0.00032702030269877297,0.0028360052904330903,0.26092378554570256,0.3103351651420247,0.05528644621904163,1.0000000000000002
35,36,2040303,3513600.0,1319467500.0000002,117239400.0,83316600.00000001,43834499.99999999,14871600.0,34145100.00000001,35412300.00000001,76715099.99999999,87707700.0,4017600.0,1683000.0,5205600.0,1367100.0000000002,2321100.0,443138400.0,294385500.0,149199299.99999997,2717541000.0,0.0012929335748752273,0.48553729272161866,0.043141722608784926,0.030658819866931177,0.016130207419133694,0.0054724473338212745,0.01256470463555104,0.01303100854780112,0.02822960168770222,0.032274655653769344,0.0014783953581565098,0.0006193098834571401,0.0019155552758909618,0.0005030650871504791,0.0008541177483614783,0.1630659482230443,0.10832789643284131,0.05490231794110925,1.0000000000000002
36,37,2070005,0.0,21062700.000000004,227586599.99999997,149516099.99999997,41850900.0,17320500.0,2408400.0,1578446100.0,129802500.00000001,692280900.0,14073300.0,18871200.0,900.0,854100.0,1178726400.0,255247200.00000003,1484100.0,711900.0,4330243800.0,0.0,0.004864091024158964,0.05255745646469143,0.03452833302365099,0.009664790698389776,0.003999890260220452,0.0005561811554351744,0.3645166814856937,0.029975794896352027,0.15987111395436904,0.0032500017666441785,0.004357999427191605,2.0784049156770342e-07,0.00019724062649775054,0.2722078604442549,0.05894522613253324,0.00034272897059514293,0.0001644018288300534,1.0
37,38,2080104,0.0,422893800.0,165366000.00000003,64832400.0,27401400.0,9376200.0,3940200.0,328808700.0,344824199.99999994,651272399.9999999,59875200.0,41391000.0,20453400.0,3434400.0,62415000.00000001,500420700.0,243081900.0,44118000.00000001,2993904900.0,0.0,0.1412515808367861,0.055234219363480795,0.021654796049133024,0.009152394920760509,0.0031317628024858106,0.0013160738672761448,0.10982603355236835,0.115175401863967,0.21753276131115584,0.019999032033382224,0.013825088432167634,0.006831679924101798,0.0011471306252914045,0.02084735557231628,0.16714649152683508,0.0811922583112109,0.014735939007281096,1.0
