,Station,Latitude,Longitude
28573,ELI2,36.88237,-76.33883
28721,EST002.35,37.40173,-76.34297
28748,ET1.1,39.56976,-75.96781999999997
28927,ET10.1,38.07614,-75.57125
29100,ET2.1,39.5293,-75.81135
29275,ET2.2,39.46704,-75.87368000000002
29445,ET2.3,39.50873,-75.89783
29634,ET3.1,39.36415,-75.88203
29808,ET4.1,39.2437,-75.9249
29991,ET4.2,38.99233,-76.2151
30174,ET5.0,38.99719,-75.78644
30347,ET5.1,38.80645,-75.90971
30538,ET5.2,38.5807,-76.0587
30750,ET6.1,38.54833,-75.70306
30924,ET6.2,38.34133,-75.88834
31112,ET7.1,38.26783,-75.78793
31286,ET8.1,38.13794,-75.81411
31475,ET9.1,38.055,-75.80167
31667,FRG0002,39.3136,-76.40628000000002
31679,FRG0018,39.33305,-76.40514
31685,GBO0013,39.4637,-75.8383
31706,GEO0009,39.49364,-79.0447
32159,GUN0125,39.42562,-76.52889
32332,GUN0258,39.55064,-76.63586
32767,GUN0476,39.68936,-76.78047
32940,GWN0115,39.34279,-76.72639000000002
33400,GWR003.54,37.85067,-76.34405
33427,GWR007.7,37.86769,-76.39854
33454,GYI0001,39.09,-76.2003
33465,HAH001.02,37.36393,-76.28171999999998
33553,HOK0005,38.1889,-76.2653
33558,HUG000.87,37.40961,-75.96733
33644,HUG003.43,37.43458,-75.94091
33671,HUN001.29,37.79062,-75.70774
33756,IND000.02,37.67835,-76.32758000000003
33847,INN001.43,37.81339000000001,-76.29426
33874,INN002.24,37.81786,-76.30802
33964,JMS002.55,36.99667,-76.37698
34045,JMS017.96,37.04883,-76.5045
34093,JMS018.23,37.05323,-76.50992
34163,JMS032.59,37.20297,-76.64833
34216,JMS042.92,37.20294000000001,-76.78219
34269,JMS043.78,37.22775,-76.79146999999998
34387,JMS048.03,37.2398,-76.87915
34440,JMS050.74,37.21335,-76.9173
34493,JMS055.94,37.27272,-76.99056999999998
34514,JMS062.82,37.27512,-77.05833
34536,JMS069.08,37.30165,-77.1284
34557,JMS073.37,37.3252,-77.2044
34629,JMS075.04,37.31265,-77.23283
34650,JMS082.49,37.38199,-77.25069
34672,JMS094.45,37.3789,-77.34747
34694,JMS099.00,37.40098,-77.387
34763,JMS104.16,37.45,-77.41883
34785,JMS109.62,37.52645,-77.41303
34807,JON0184,39.40871,-76.74277
34978,KNG01,38.89039,-76.94414
35051,KNG02,38.89761,-76.96581
35134,LBO0010,39.4484,-75.8449
35155,LCC000.14,36.92799,-76.1794
35184,LCC000.28,36.92871,-76.20969000000002
35193,LE1.1,38.42535,-76.60176
35397,LE1.2,38.37887,-76.51132
35597,LE1.3,38.3398,-76.4849
35809,LE1.4,38.312,-76.42151
36013,LE2.2,38.1576,-76.598
36242,LE2.3,38.0215,-76.3477
36471,LE3.1,37.75925,-76.61591999999997
36625,LE3.2,37.66914000000001,-76.55046999999998
36776,LE3.3,37.68842,-76.47442
36927,LE3.4,37.63189000000001,-76.44485999999998
37078,LE3.6,37.5968,-76.28466999999998
37278,LE3.7,37.53069,-76.30660999999998
37475,LE4.1,37.41883,-76.69125
37618,LE4.2,37.29044,-76.57811
37762,LE4.3,37.23392,-76.43094
37904,LE5.1,37.20297,-76.64833
38062,LE5.2,37.056,-76.59306
38222,LE5.3,36.99044,-76.47544
38383,LE5.4,36.95486,-76.39275
38545,LE5.5-W,36.99903,-76.31328
38755,LE5.6,36.90456,-76.33836
38907,LFA01,36.9082,-76.3146
39065,LFB01,36.8894,-76.28144
39222,LGC003.64,37.05573,-76.28859
39251,LIC0042,39.67628,-78.04194
39349,LIS001.23,37.89288,-76.25698
39376,LIS003.84,37.89401,-76.29805999999998
39403,LKN001.19,36.88,-76.01221
