,OBJECTID,HUC12,VALUE_0,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_45,VALUE_46,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,TotalPixels,V_0_PERCENT,V_11_PERCENT,V_21_PERCENT,V_22_PERCENT,V_23_PERCENT,V_24_PERCENT,V_31_PERCENT,V_41_PERCENT,V_42_PERCENT,V_43_PERCENT,V_45_PERCENT,V_46_PERCENT,V_52_PERCENT,V_71_PERCENT,V_81_PERCENT,V_82_PERCENT,V_90_PERCENT,V_95_PERCENT,TotalPercents
20,21,20700110207,0.0,47761200.0,2977200.0,354600.0,58500.0,5400.0,9900.0,26767800.0,1089900.0,14007600.0,686700.0,168300.0,228600.0,73800.0,1086300.0,1504800.0,7230600.0,414900.0,104426100.0,0.0,0.4573684165165605,0.028510113850847632,0.0033957027984383215,0.0005602047763921088,5.171121012850236e-05,9.480388523558765e-05,0.25633246860698616,0.01043704591093606,0.1341388790733351,0.006575942221341217,0.00161166604900499,0.002189107895439933,0.0007067198717561989,0.010402571770850392,0.014410190555809324,0.06924131036206466,0.003973144644873265,1.0
21,22,20700110504,0.0,31999500.000000004,3719700.0,756900.0,81900.0,15300.0,65700.0,2302200.0,2639700.0,5555700.0,27900.0,49500.0,214200.0,66600.0,687600.0,14868000.0,8127900.000000001,549900.0,71728200.0,0.0,0.44612160907425535,0.05185826495018696,0.010552335064869883,0.001141810334010891,0.00021330522723280384,0.0009159577404702753,0.032096163015383074,0.03680142538081257,0.07745489221812342,0.0003889683555421717,0.0006901051469296595,0.0029862731812592535,0.0009285051067780873,0.009586187859168361,0.2072824914050541,0.11331526512585009,0.007666440814073126,1.0
22,23,20700110305,0.0,77967000.0,5657400.0,2238300.0,1353600.0,521100.0,195300.0,11159100.0,4004100.0,15585300.0,296100.0,68400.0,420300.0,119700.0,1951200.0,10345500.0,12541500.0,1845900.0,146269800.0,0.0,0.5330355274978157,0.03867784053851171,0.015302543655628161,0.00925413174831715,0.0035625946025768817,0.0013352038493250145,0.07629120980544173,0.02737475541772806,0.10655172838138836,0.002024341319944377,0.00046762899792028155,0.0028734571319575194,0.0008183507463604927,0.013339732466989085,0.07072888593544259,0.08574223797393583,0.012619829930717072,1.0
23,24,20700110201,0.0,2326500.0,1335600.0,1068300.0,518400.0,171900.0,6300.0,19488600.0,3865500.0,13169700.0,510300.0,198000.0,144000.0,51300.0,424800.0,53100.0,5157000.0,11700.0,48501000.0,0.0,0.04796808313230655,0.027537576544813508,0.022026349972165522,0.010688439413620337,0.003544256819447022,0.0001298942289849694,0.4018185192057896,0.07969938764149193,0.27153460753386527,0.01052143254778252,0.0040823900538133236,0.0029690109482278714,0.0010577101503061793,0.008758582297272222,0.0010948227871590277,0.10632770458341065,0.00024123213954351457,1.0
24,25,20801020405,0.0,10506600.0,3929400.0,550800.0,214200.0,49500.0,74700.0,426600.0,12933900.0,1672200.0,105300.0,106200.0,934200.0,82800.0,133200.0,6540300.000000001,20048400.000000004,1096200.0,59404500.0,0.0,0.1768653889856829,0.06614650405272328,0.00927202484660253,0.0036057874403454286,0.000833270206802515,0.001257480493901977,0.007181274145898038,0.21772592985379896,0.028149382622528595,0.0017725929853798954,0.0017877433527763048,0.01572608135747292,0.0013938338004696614,0.0022422543746685856,0.11009771986970686,0.33748958412241503,0.018453147488826604,1.0
25,26,20700110205,0.0,1189800.0,7031699.999999999,639900.0,104400.0,22500.0,241200.0,31000499.999999996,2080800.0,15218100.0,1169100.0,1007100.0,94500.0,103500.0,14308199.999999998,1944000.0,2490300.0,33300.0,78678900.0,0.0,0.015122224637100926,0.08937211882728405,0.008133057274567895,0.0013269122979604443,0.00028597247800871644,0.0030656249642534404,0.3940128802004095,0.026446734766246097,0.19342034522597545,0.014859129957332906,0.012800128115670148,0.001201084407636609,0.0013154733988400957,0.18185561821530294,0.0247080220999531,0.03165143386600473,0.0004232392674529003,1.0
26,27,20700110202,0.0,790200.0,11084400.0,3907800.0,934200.0,174600.0,656100.0,37771200.0,4536000.0,20419200.0,1947600.0,1048500.0,605700.0,488700.0,5748300.0,333000.0,5365800.0,57600.0,95868900.0,0.0,0.00824250617249181,0.11562039410069376,0.04076191549084218,0.00974455741121469,0.0018212371269514932,0.006843720956431126,0.39398803991701165,0.04731461401977075,0.21299086565090453,0.020315243003726963,0.010936810581950977,0.006318003022878118,0.005097586391415777,0.059960007885769,0.003473493489546662,0.05597018428291135,0.0006008204954891524,1.0
27,28,20801020101,0.0,7915500.000000001,3717000.0,405900.0,38700.0,8100.0,219600.0,400500.0,8874899.999999998,5002200.0,131400.0,429300.0,320400.0,127800.0,64800.0,11774700.0,7014600.0,367200.0,46812600.0,0.0,0.16908909139846967,0.07940169954243088,0.00867074249240589,0.0008267005037105395,0.00017303033798592686,0.0046910447187295725,0.008555388933748607,0.18958357365324716,0.10685584650286462,0.0028069365939939247,0.009170607913254124,0.006844311146998885,0.002730034221555735,0.0013842427038874149,0.25152843465220903,0.14984427269581266,0.00784404198869535,1.0
28,29,20700110601,0.0,5635800.0,8550899.999999998,2672999.9999999995,1149300.0,297000.0,45900.0,35694899.99999999,1865700.0,36491400.0,1105200.0,425700.0,525600.0,148500.0,8401500.000000002,5359500.0,11380500.0,998100.0,120748500.0,0.0,0.0466738717251146,0.07081578653150969,0.022136920955539815,0.009518130660008199,0.002459657883948869,0.00038012894570118883,0.2956136101069578,0.015451123616442441,0.3022099653411844,0.009152908731785488,0.0035255096336600455,0.004352849103715574,0.0012298289419744345,0.06957850408079605,0.04438564454216823,0.09424961800767712,0.008265941191816048,1.0
29,30,20402070301,0.0,1229400.0,14130000.0,10145700.0,6922800.0,3522600.0,225900.0,8021699.999999999,7200.0,463500.0,35100.0,15300.0,253800.0,31500.0,281700.0,34700400.00000001,19202400.0,171000.0,99360000.0,0.0,0.012373188405797101,0.14221014492753623,0.10211050724637681,0.06967391304347827,0.035452898550724636,0.002273550724637681,0.0807336956521739,7.246376811594203e-05,0.004664855072463768,0.0003532608695652174,0.0001539855072463768,0.0025543478260869564,0.00031702898550724635,0.002835144927536232,0.34923913043478266,0.1932608695652174,0.0017210144927536232,1.0
30,31,20402070201,0.0,932400.0,8253900.000000001,4072500.0,1403100.0000000002,281700.0,0.0,3593700.0,54000.0,111600.0,7200.0,13500.0,72900.0,30600.0,93600.0,42298200.00000001,11521800.000000002,1209600.0,73950300.00000001,0.0,0.012608468119804785,0.11161415166672752,0.055070770503973604,0.01897355385982207,0.003809315175191986,0.0,0.04859615173974952,0.0007302201613786555,0.0015091216668492214,9.736268818382074e-05,0.00018255504034466388,0.0009857972178611849,0.0004137914247812381,0.0012657149463896696,0.571981452407901,0.15580464176615916,0.016356931614881883,1.0
31,32,20802080302,0.0,11016000.0,7751699.999999999,8793900.000000002,6180300.000000001,6120000.0,17100.0,31500.0,348300.0,126000.0,0.0,0.0,14400.0,7200.0,1800.0,9000.0,853200.0,116100.0,41386500.0,0.0,0.266173752310536,0.18730020658910512,0.2124823311949549,0.14933130368598457,0.1478743068391867,0.0004131782102859628,0.0007611177557899315,0.008415787756877242,0.003044471023159726,0.0,0.0,0.0003479395455039687,0.00017396977275198434,4.3492443187996084e-05,0.00021746221593998044,0.020615418071110145,0.0028052625856257473,1.0000000000000002
32,33,20802080301,0.0,15338700.0,3668400.0,4723200.0,2906100.0,963000.0,6002099.999999999,31500.0,1011600.0,73800.0,0.0,0.0,36900.0,39600.0,18000.0,47700.0,954000.0,735300.0,36549900.0,0.0,0.4196646228854251,0.1003668956686612,0.12922607175395828,0.07951047745684667,0.02634754130654256,0.16421659156386198,0.0008618354632981211,0.027677230307059663,0.002019157371155598,0.0,0.0,0.001009578685577799,0.001083450296717638,0.0004924774075989264,0.001305065130137155,0.0261013026027431,0.020117702100416142,1.0
33,34,20802010505,0.0,0.0,1258200.0,252000.0,127800.0,28800.0,152100.0,31269600.0,660600.0,4461300.0,784800.0,637200.0,0.0,0.0,1686600.0,31500.0,0.0,0.0,41350500.0,0.0,0.0,0.030427685275873327,0.006094243116770051,0.0030906518663619546,0.000696484927630863,0.003678311024050495,0.7562085101752095,0.015975623027532918,0.10788986832081837,0.018979214277941015,0.015409729023832844,0.0,0.0,0.04078789857438241,0.0007617803895962564,0.0,0.0,1.0
34,35,20802080304,0.0,64909799.99999999,103500.0,253800.0,599400.0,259200.0,37800.0,0.0,0.0,0.0,0.0,0.0,0.0,6300.0,0.0,0.0,0.0,0.0,66169799.99999999,0.0,0.9809580805745219,0.001564157667092843,0.0038355866271320154,0.009058513098120292,0.003917194853241207,0.0005712575827643427,0.0,0.0,0.0,0.0,0.0,0.0,9.520959712739045e-05,0.0,0.0,0.0,0.0,1.0
35,36,20801020103,0.0,16217100.0,3346200.0,630900.0,329400.0,126000.0,264600.0,190800.0,2967300.0,961200.0,7200.0,101700.0,282600.0,55800.0,31500.0,2370599.9999999995,3788100.0,480600.0,32151600.0,0.0,0.5043948046131452,0.10407569141193596,0.019622662635763073,0.010245213301981861,0.003918934049938417,0.008229761504870675,0.005934385847049603,0.09229089687604972,0.02989586832381592,0.00022393908856790953,0.003163139626021722,0.008789609226290448,0.001735527936401299,0.0009797335124846042,0.0737319449109842,0.1178199529727914,0.01494793416190796,1.0
36,37,20801020104,0.0,42044400.00000001,4389300.0,311400.0,45900.0,11700.0,207000.0,604800.0,13201200.0,10271700.0,2091600.0,817200.0,362700.0,100800.0,285300.0,18006300.0,12029400.000000002,2160900.0,106941600.0,0.0,0.39315289840436285,0.04104389685585404,0.0029118696559617585,0.00042920622096546154,0.00010940550730492157,0.0019356358984716892,0.005655423146839022,0.12344307547296843,0.09604961960546692,0.019558338382818286,0.00764155389483606,0.0033915707264525687,0.0009425705244731704,0.0026678112165892413,0.16837507574227428,0.11248569312596783,0.020206355618393592,1.0000000000000002
37,38,20403040404,2830500.0,253215000.0,900.0,14400.0,2700.0,0.0,2113200.0,0.0,24300.0,7200.0,0.0,0.0,34200.0,18000.0,0.0,0.0,214200.0,1850400.0,260325000.0,0.010872947277441659,0.9726879861711323,3.457216940363008e-06,5.531547104580813e-05,1.0371650821089024e-05,0.0,0.008117545375972342,0.0,9.334485738980121e-05,2.7657735522904064e-05,0.0,0.0,0.0001313742437337943,6.914433880726016e-05,0.0,0.0,0.0008228176318063958,0.007108038029386344,1.0
